Date,Non-OPEC,OPEC,Total
12/31/1980,21249.367,14700.218,35949.585
12/31/1981,21570.945,12306.883,33877.828
12/31/1982,22050.914,10486.962,32537.876
12/31/1983,22671.88,9450.608,32122.488
12/31/1984,23576.354,9175.857,32752.211
12/31/1985,23737.201,8728.495,32465.696
12/31/1986,23945.031,10124.356,34069.387
12/31/1987,24104.56,10043.514,34148.074
12/31/1988,24250.844,11356.726,35607.57
12/31/1989,23822.482,12215.01,36037.492
12/31/1990,23625.988,13100.789,36726.777
12/31/1991,23439.219,13188.477,36627.696
12/31/1992,22930.03,14227.945,37157.975
12/31/1993,22524.508,14580.642,37105.15
12/31/1994,22767.371,14851.832,37619.203
12/31/1995,23078.398,15057.113,38135.511
12/31/1996,23698.49,15452.746,39151.236
12/31/1997,24118.951,15904.251,40023.202
12/31/1998,24171.02,16863.688,41034.708
12/31/1999,24069.688,16034.997,40104.685
12/31/2000,24824.896,17019.271,41844.167
12/31/2001,25106.535,16735.379,41841.914
12/31/2002,25700.395,15636.744,41337.139
12/31/2003,26204.133,16969.205,43173.338
12/31/2004,26677.232,18658.174,45335.406
12/31/2005,26576.316,19146.727,45723.043
12/31/2006,26707.756,19422.8,46130.556
12/31/2007,26817.18,19219.516,46036.696
12/31/2008,26697.47,19826.857,46524.327
12/31/2009,26929.256,18436.545,45365.801
12/31/2010,27528.22,18736.771,46264.991
12/31/2011,27543.307,19078.973,46622.28
12/31/2012,28020.693,19900.527,47921.22
12/31/2013,28729.809,19256.617,47986.426
12/31/2014,29915.209,19197.572,49112.781
12/31/2015,30629.934,20132.18,50762.114
12/31/2016,30140.002,20764.275,50904.277
12/31/2017,30449.252,20547.342,50996.594
12/31/2018,31769.5,20421.203,52190.703
12/31/2019,32865.92,19226.818,52092.738
12/31/2020,31571.744,16989.1,48560.844
12/31/2021,31807.139,17384.91,49192.049
12/31/2022,32585.814,18669.754,51255.568
